#<ID>,<ADJ>,[ADJ EN],[ADJ ETT],[ADJ PL],[ADJ COMP],[ADJ SUPER],[ADJ ENG],[ADJ ENG COMP],[ADJ ENG SUPER],[PIC]
adj1,adj,lång,långt,långa,,,long,longer,longest,
adj2,adj,vilken,vilket,vilka,,,which,,,
